Generator,Region,Installed capacity (MW),Indicative commissioning date
SA Hydrogen Turbine,SA,200,December 2025
Borumba,QLD,1998,September 2031
Aramara Solar Farm,QLD,101,June 2026
Banksia Solar Farm,QLD,60,September 2025
Culcairn Solar Farm,NSW,350,July 2025
Cultana Solar Farm,SA,357,July 2026
Derby Solar Farm,VIC,95,March 2025
Frasers Solar Farm,VIC,77,October 2025
Horsham Solar Farm,VIC,119,July 2025
Lockhart Hybrid Facility - Solar,NSW,10,April 2025
Quorn Park Solar Farm,NSW,97,December 2025
Tamworth Solar Farm,NSW,65,April 2026
Tilbuster Solar Farm,NSW,249,March 2026
MacIntyre Wind Farm,QLD,923,December 2024
Uungula Wind Farm,NSW,414,July 2025
Woolsthorpe Wind Farm,VIC,73,July 2025
